breadcrumb,category,today_count,baseline,surge_pct
AUTONOMOUS DRIVING SYSTEM,tech,1,1.0,0.0
AXIO,threat_actor,1,1.0,0.0
AXIOM,tech,1,1.0,0.0
BACKBLAZE,tech,1,1.0,0.0
BACKBLAZE B2,tech,1,1.0,0.0
BACKGROUND-BASED RETRIEVAL ATTACKER,threat_actor,1,1.0,0.0
BALANCE RESPONSIBLE PARTY,tech,1,1.0,0.0
BALTIMORE RESIDENTIAL REGION,tech,1,1.0,0.0
BANK TROJAN,attack_vector,1,1.0,0.0
BASELINE,tech,1,1.0,0.0
BAYESIAN DECISION-MAKER,tech,1,1.0,0.0
BAYESIAN FRAMEWORK,tech,1,1.0,0.0
BAYESIAN OPTIMISATION,tech,1,1.0,0.0
BAYESIAN OPTIMIZATION,tech,1,1.0,0.0
BDD100K DRIVING DATASET,tech,1,1.0,0.0
BEAMSPLITTER SETUP,tech,1,1.0,0.0
BEAST,attack_vector,1,1.0,0.0
BEAZLEY EXPOSURE MANAGEMENT PLATFORM,tech,1,1.0,0.0
BEHAVIOR TYPE,tech,1,1.0,0.0
BEHAVIORALLY COHERENT GROUP,tech,1,1.0,0.0
BELGIAN DATUM,tech,1,1.0,0.0
BELLMAN BACKUP,tech,1,1.0,0.0
BENNETT 4R DATASET,tech,1,1.0,0.0
BLACK-BOX API,tech,1,1.0,0.0
BLACK-BOX VISUAL PROMPTING,tech,1,1.0,0.0
BLUESKY,tech,1,1.0,0.0
BOOTSTRAPPING,tech,1,1.0,0.0
BOT-SORT,tech,1,1.0,0.0
BOTTLE,tech,1,1.0,0.0
BOUNDARY HYPERPLANE,tech,1,1.0,0.0
BOX,tech,1,1.0,0.0
BRAIN-COMPUTER INTERFACES (BCIS),tech,1,1.0,0.0
BRAZIL,geodata,2,2.0,0.0
BREACH,attack_vector,1,1.0,0.0
BRICKSTORM,attack_vector,1,1.0,0.0
BROWSER CREDENTIAL,tech,1,1.0,0.0
BUSINESS,tech,1,1.0,0.0
CAMERA FLOW MATCHING,tech,1,1.0,0.0
CAMOUFLAGE-AWARE IMAGE-TEXT RETRIEVAL,tech,1,1.0,0.0
CANDIDATE,tech,1,1.0,0.0
CANDIDATE PATCH,attack_vector,1,1.0,0.0
CARBON-AWARE SCHEDULING,tech,1,1.0,0.0
CAREFULLY TAILORED OPTICAL FLOW MODULE,tech,1,1.0,0.0
CARTOGRAPHIC PRODUCT,tech,1,1.0,0.0
CASTE,tech,1,1.0,0.0
CAUSAL EFFECT,tech,1,1.0,0.0
CAUSALITY-AWARE COGNITIVE FILTERING MODULE,tech,1,1.0,0.0
CELL,tech,1,1.0,0.0
CERT-EU,threat_actor,1,1.0,0.0
